datetime,open,high,low,close,vol
2026-08-20 21:00:00,2289.49,2298.65,2255,2274.56,3431085.09
2026-08-20 20:00:00,2295.59,2300.75,2265.9,2289.48,4033301.38
2026-08-20 19:00:00,2286.15,2318.53,2281.28,2295.6,3864612.42
2026-08-20 18:00:00,2278.3,2294.98,2275.01,2286.15,1433168.14
2026-08-20 17:00:00,2281.69,2297.85,2274.47,2278.31,3146647.79
2026-08-20 16:00:00,2251.86,2287.81,2248.84,2281.7,4060422.81
2026-08-20 15:00:00,2261.97,2262.91,2244.25,2251.87,1253463.97
2026-08-20 14:00:00,2247.91,2266.94,2238.48,2261.97,1878412.74
2026-08-20 13:00:00,2249.75,2256.44,2243.02,2247.91,693105.18
2026-08-20 12:00:00,2251.04,2258.33,2247.4,2249.75,835103.72
2026-08-20 11:00:00,2251.47,2258.67,2220.88,2251.04,3384147.17
2026-08-20 10:00:00,2265.91,2269.9,2249.35,2251.48,1048336.11
2026-08-20 09:00:00,2261.84,2270.25,2248.57,2265.9,1651593.74
2026-08-20 08:00:00,2252.1,2273.75,2251.1,2261.83,1945241.6
2026-08-20 07:00:00,2249.71,2263.15,2242.25,2252.09,1464701.86
2026-08-20 06:00:00,2286.21,2290.3,2240.18,2249.7,3769611.13
2026-08-20 05:00:00,2218.37,2342.14,2216.16,2286.2,9884661.05
2026-08-20 04:00:00,2100.9,2254.18,2100.9,2218.37,8408399.61
2026-08-20 03:00:00,2090.71,2105.94,2088.04,2100.91,1896464.64
2026-08-20 02:00:00,2090.06,2091.69,2078.26,2090.71,1031472.83
2026-08-20 01:00:00,2088.64,2092.24,2066.35,2090.05,3081664.87
2026-08-20 00:00:00,2085.14,2107.43,2081.5,2088.63,4915751.73
2026-08-19 23:00:00,1969.61,2133.21,1966.46,2085.15,19505931.74
2026-08-19 22:00:00,1931.99,1979.83,1931.59,1969.61,5650208.76
2026-08-19 21:00:00,1936.14,1940.73,1927,1931.99,2141161.66
2026-08-19 20:00:00,1922.22,1942.6,1921.52,1936.14,2750955.88
2026-08-19 19:00:00,1919.41,1925.19,1919.15,1922.23,635770.68
2026-08-19 18:00:00,1918.41,1919.66,1916.51,1919.42,369855.28
2026-08-19 17:00:00,1920.65,1923.14,1917.01,1918.41,479891.25
2026-08-19 16:00:00,1915.02,1929.72,1914.33,1920.66,1534590.71
2026-08-19 15:00:00,1916.71,1920.41,1914.57,1915.02,1160221.21
2026-08-19 14:00:00,1909.45,1916.72,1905.17,1916.71,882592.59
2026-08-19 13:00:00,1909.84,1913.2,1908.9,1909.44,260916.57
